0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
3478,3146,416,516,903,940,864,450,11,69,156,90,71,42,2,8,36,29,27,57,1,8,28,37,22,21,5,5,7,9,6,8,3,8,8,6,6,10,115,122,112,135,167,167,450,478,401,306,hand_press
2323,2104,352,435,672,694,647,392,6,74,138,105,83,26,58,80,92,61,50,49,71,100,107,55,37,23,80,99,87,44,43,5,98,116,116,23,89,588,1132,1711,1705,1719,1738,1730,1668,1711,1475,649,hand_press
1394,1262,211,286,422,447,418,274,12,74,106,107,75,56,85,110,110,88,81,86,118,141,148,121,96,92,105,138,129,120,101,47,117,150,140,73,145,468,780,1238,1395,1786,1717,1556,1839,1876,1880,1601,hand_press
836,757,126,177,271,303,282,214,7,51,75,99,52,53,51,66,83,81,65,76,95,129,133,130,96,110,111,141,136,142,124,73,162,200,182,153,221,417,590,1156,1402,1867,2263,1675,2070,2438,2467,2571,hand_press
501,454,76,106,169,200,178,147,4,30,51,59,31,32,30,39,52,48,39,45,57,77,87,97,64,66,66,98,92,114,85,70,103,140,141,117,152,251,527,896,1025,1318,1549,1208,1546,2116,2418,3009,hand_press
301,272,45,63,101,120,106,88,2,18,30,39,18,19,18,23,31,29,23,27,34,46,52,58,38,39,45,73,74,102,71,62,86,84,84,70,91,150,616,849,870,913,1039,844,1596,1933,1993,2338,hand_press
716,669,27,38,112,142,134,121,1,11,18,23,11,11,11,14,18,17,14,16,20,28,31,35,23,23,27,43,44,61,42,37,51,50,50,42,54,90,664,850,816,822,892,768,1885,2079,1983,2120,hand_press
1988,1821,204,253,485,509,469,469,0,6,43,54,25,18,6,8,11,10,8,9,12,16,18,21,13,14,16,26,26,37,25,22,31,30,30,25,32,54,398,510,489,493,535,461,1131,1247,1189,1272,hand_press
2757,2526,325,403,711,759,730,746,83,121,203,228,194,184,53,79,97,96,72,57,7,10,11,19,8,21,9,15,16,22,15,13,18,18,18,15,19,32,239,306,293,296,321,276,678,748,713,763,hand_press
3230,2931,242,345,749,788,775,737,73,132,220,182,161,110,37,73,101,94,101,111,21,54,69,93,68,61,5,35,46,61,34,42,11,10,10,9,11,19,143,183,176,177,192,166,407,449,428,457,hand_press
3262,2936,165,248,677,720,695,673,48,112,195,192,167,123,73,120,139,121,121,132,44,82,107,105,75,36,40,82,93,98,78,106,107,141,120,136,125,151,177,213,182,166,154,128,244,269,257,274,hand_press
2461,2206,197,274,576,602,576,571,34,100,182,174,142,112,63,101,126,137,118,142,58,114,134,87,56,47,80,129,130,58,47,63,121,152,132,81,94,128,166,489,1603,1737,1730,1714,1784,1799,1792,1364,hand_press
1477,1323,123,164,346,361,345,355,20,60,138,139,104,92,69,119,132,145,122,153,83,137,147,135,94,111,59,112,124,66,57,38,135,165,146,126,160,217,336,997,1932,2547,2676,2010,2220,2496,2566,1413,hand_press
886,794,74,109,215,243,219,245,12,36,98,109,77,74,49,71,79,99,79,100,64,123,129,139,96,117,58,127,139,112,98,81,118,164,139,151,166,236,743,1170,1753,2433,2943,2844,2970,3135,3177,1127,hand_press
531,476,44,65,129,145,131,147,7,21,59,65,46,44,29,43,47,59,47,60,38,80,89,111,70,70,35,76,95,69,63,49,73,124,113,95,100,148,772,1040,1318,1703,1994,1910,2462,2591,2502,1413,hand_press
319,285,71,39,77,87,79,88,4,13,35,39,28,26,17,25,28,35,28,36,23,48,53,66,42,42,21,45,57,41,38,29,44,74,68,57,60,89,692,879,992,1220,1383,1297,2293,2364,2165,1507,hand_press
1504,1429,42,23,207,215,203,187,2,7,38,25,16,16,10,15,17,21,17,21,14,29,32,40,25,25,12,27,34,25,22,17,26,44,41,34,36,53,415,527,595,732,829,778,1704,1779,1559,1177,hand_press
2484,2278,91,138,451,486,446,453,1,4,80,96,68,79,6,9,10,12,10,12,8,17,19,24,15,15,7,16,20,15,13,10,15,26,24,20,21,32,249,316,357,439,497,467,1022,1067,935,706,hand_press
3073,2783,322,378,731,768,725,579,0,32,133,163,40,68,3,7,26,8,6,32,5,10,11,29,9,9,4,9,12,9,8,6,9,16,14,12,12,19,149,190,214,263,298,280,613,640,561,424,hand_press
3438,3110,387,466,858,890,844,761,57,109,222,223,120,105,6,42,67,43,42,19,31,45,58,88,75,10,2,11,7,5,4,3,5,12,8,7,7,11,89,114,128,158,179,168,368,384,336,254,hand_press
2658,2389,232,316,616,648,606,568,34,92,191,180,100,102,43,87,102,56,67,54,81,130,94,110,83,56,54,79,72,3,2,2,55,73,74,49,45,65,444,471,424,416,388,350,914,914,720,588,hand_press
1594,1433,139,190,369,416,370,367,55,112,163,150,85,90,55,103,118,91,85,82,104,149,133,132,95,76,128,157,135,115,109,1,129,153,138,36,92,56,694,723,646,1332,1178,1180,1430,1670,1521,912,hand_press
956,860,83,176,280,317,284,265,57,67,118,121,75,66,68,114,126,110,104,104,107,154,134,150,127,99,141,144,138,130,125,29,115,156,151,98,153,83,479,871,1110,1810,2339,2160,2496,2640,2550,2185,hand_press
574,516,50,118,168,208,177,159,34,40,71,85,49,44,40,121,126,69,62,62,64,92,80,90,76,59,102,88,96,101,95,42,107,140,130,107,126,90,539,814,936,1357,1684,1712,2103,2537,2637,2879,hand_press
344,309,38,150,166,182,151,122,20,24,42,57,29,26,24,72,76,41,37,37,38,55,48,54,45,35,61,119,102,132,108,88,64,90,106,89,96,87,684,856,847,1098,1309,1290,1968,2244,2177,2252,hand_press
1433,1309,36,90,226,265,216,173,12,14,25,34,17,16,14,43,45,24,22,22,23,33,29,32,27,21,36,71,61,79,65,53,38,54,63,53,57,52,698,827,728,891,984,923,1901,2082,1878,1874,hand_press
2161,1965,136,214,452,485,444,426,7,8,44,66,46,34,8,26,27,40,13,13,13,20,17,19,16,12,22,42,37,47,39,31,23,32,38,32,34,31,419,496,437,534,590,553,1141,1249,1127,1124,hand_press
2825,2559,249,352,674,717,687,684,62,101,184,118,96,60,14,41,56,69,30,43,8,12,10,13,9,7,13,25,22,28,23,19,13,19,22,19,20,18,251,297,262,320,354,332,684,749,676,674,hand_press
3263,2938,335,449,821,867,820,824,74,133,242,116,94,36,8,49,66,103,50,65,7,25,12,8,5,8,7,15,14,17,14,11,8,11,13,11,12,11,150,178,157,192,212,199,410,449,405,404,hand_press
3077,2774,202,313,704,742,694,636,128,176,236,178,147,46,64,90,109,63,30,47,23,58,46,58,37,5,33,66,63,76,82,109,138,151,145,6,34,38,122,163,126,115,127,119,246,269,243,242,hand_press
2234,2033,135,236,503,542,499,431,77,139,187,157,118,54,100,127,132,108,78,86,93,129,110,108,85,48,96,140,127,90,81,65,143,163,159,56,82,110,615,683,624,756,986,925,1192,1292,1784,1783,hand_press
